SID,hholds,totalpop,male,female,othergender,DivID,Division,DisID,District,Area
1,49,202,101,101,0,4,Barguna,9,Amtali   ,Wapda Office Basti   
2,55,228,124,104,0,4,Barguna,9,Amtali   ,Puratan Am Bazar Basti  
3,11,44,27,17,0,4,Barguna,19,Bamna   ,Khandakar Basti    
4,65,241,119,122,0,4,Barguna,19,Bamna   ,Bamna U.C. Attached Basti  
5,14,47,21,26,0,4,Barguna,19,Bamna   ,Khokan Shikder Basti   
6,45,194,92,102,0,4,Barguna,28,Barguna Sadar  ,Char Colony Basti   
7,48,202,95,107,0,4,Barguna,28,Barguna Sadar  ,Karaitala Basti    
8,152,567,288,278,1,4,Barguna,28,Barguna Sadar  ,Barial Para Basti   
9,36,148,76,72,0,4,Barguna,28,Barguna Sadar  ,Wapda Basti    
10,17,58,28,30,0,4,Barguna,28,Barguna Sadar  ,Faruq.Commissioner Basti    
11,27,99,43,55,1,4,Barguna,28,Barguna Sadar  ,Anwar Mia Basti   
12,30,142,68,74,0,4,Barguna,47,Betagi   ,A.Kalam Basti    
13,77,329,166,163,0,4,Barguna,47,Betagi   ,Swissgate Basti    
14,48,177,93,84,0,4,Barguna,85,Patharghata   ,Wapda Colony Basti   
15,91,356,176,179,1,4,Barguna,85,Patharghata   ,Wapda Beribadh Basti   
16,50,202,110,91,1,4,Barguna,85,Patharghata   ,Zia Math Basti   
17,100,371,182,189,0,4,Barguna,85,Patharghata   ,Zele Para Basti   
18,54,197,108,89,0,6,Barisal,7,Bakerganj   ,Bakerganj Bus Stand   
19,44,181,89,85,7,6,Barisal,7,Bakerganj   ,Bakerganj H.School    
20,62,214,114,100,0,6,Barisal,7,Bakerganj   ,Bari Bazar    
21,15,82,43,39,0,6,Barisal,7,Bakerganj   ,Sahebgonj Up.Road Basti   
22,17,55,27,28,0,6,Barisal,7,Bakerganj   ,Najmul Alam H.School Basti  
23,6,22,13,9,0,6,Barisal,7,Bakerganj   ,U.P. Attached Basti   
24,9,29,15,14,0,6,Barisal,10,Banari Para  ,Jabber Sharder Basti   
25,15,61,30,31,0,6,Barisal,10,Banari Para  ,Mannan Mirdha Mil   
26,17,73,38,35,0,6,Barisal,10,Banari Para  ,Salam Sharder Basti   
27,13,49,27,22,0,6,Barisal,10,Banari Para  ,Kamal Molla Basti   
28,16,70,33,37,0,6,Barisal,10,Banari Para  ,Rob Mirdha    
29,28,136,60,76,0,6,Barisal,51,Barisal Sadar  ,Bisic Khal Par Purba  
30,58,240,107,133,0,6,Barisal,51,Barisal Sadar  ,Khalpar Purba Madhya   
31,39,161,84,76,1,6,Barisal,51,Barisal Sadar  ,Bander Bari    
32,20,89,40,49,0,6,Barisal,51,Barisal Sadar  ,Khalpar Paschim    
33,46,174,89,85,0,6,Barisal,51,Barisal Sadar  ,Mira Bari    
34,15,87,46,41,0,6,Barisal,51,Barisal Sadar  ,Bhokto Colony    
35,65,220,109,111,0,6,Barisal,51,Barisal Sadar  ,Houron Mollai/Kamal    
36,30,111,56,55,0,6,Barisal,51,Barisal Sadar  ,Kamal Khan Bari Attached Bas 
37,20,74,43,31,0,6,Barisal,51,Barisal Sadar  ,Lasutia Khaler Dakshin Matha B 
38,20,70,38,32,0,6,Barisal,51,Barisal Sadar  ,Shahid Khan Bari Attaced  
39,20,77,40,37,0,6,Barisal,51,Barisal Sadar  ,Mannan Chowkider Bari   
40,9,35,17,18,0,6,Barisal,51,Barisal Sadar  ,Molla Bari & Gazi Bari 
41,58,202,91,111,0,6,Barisal,51,Barisal Sadar  ,Bager Bari    
42,58,202,91,111,0,6,Barisal,51,Barisal Sadar  ,Mira Bari    
43,28,144,81,63,0,6,Barisal,51,Barisal Sadar  ,Jashim Sader Bari   
44,24,94,48,46,0,6,Barisal,51,Barisal Sadar  ,Priti Chea House   
